SiteName,State,Address,City,Acres,DNI,EstPVCap
PACIFIC FUNCTIONAL FLUIDS LLC,WA,2244 PORT OF TACOMA RD,TACOMA,2.0,3.23,
PETROLEUM RECLAIMING SERVICE INC,WA,3003 TAYLOR WAY,TACOMA,,3.23,
EMERALD SERVICES INC ALEXANDER AVE,WA,1825 ALEXANDER AVE,TACOMA,2.0,3.23,
COLUMBIA GORGE ALUMINUM,WA,85 JOHN DAY DAM RD,GOLDENDALE,7000.0,5.29,1166.67
EMERALD KALAMA CHEMICAL LLC,WA,1296 NW 3RD ST,KALAMA,150.0,3.19,
INTERNATIONAL PAPER LONGVIEW,WA,10 INTERNATIONAL WAY,LONGVIEW,900.0,3.17,
US DOE BPA ROSS COMPLEX,WA,5411 NE HWY 99,VANCOUVER,250.0,3.38,
PENDLETON WOOLEN MILLS,WA,2 PENDLETON WAY,WASHOUGAL,3.0,3.16,
BURLINGTON ENVIRONMENTAL LLC WASHOUGAL,WA,625 S 32ND ST,WASHOUGAL,5.0,3.16,
OKANOGAN AIRPORT,WA,AIRPORT RD UPHILL FROM HWY 97,OKANOGAN,30.0,4.74,5.0
US ARMY YAKIMA TRAINING CENTER BLDG T14,WA,I82 4 MI N OF CITY BLDG T14,YAKIMA,324000.0,5.35,54000.0
HOP UNION USA INC 1ST AVE,WA,1ST AVE & MONROE ST NW CORNER,MABTON,120.0,5.33,20.0
KRONOS MICRONUTRIENTS LP,WA,213 W. MOXEE AVE,MOXEE,11.0,5.34,1.83
UNIVAR USA INC,WA,4515 WISCONSIN AVE E,SPOKANE,4.0,4.8,0.67
ENERGY NORTHWEST COLUMBIA GENERATING STA,WA,T11N R28E S5,RICHLAND,1089.0,5.29,181.5
AREVA NP INC,WA,2101 HORN RAPIDS RD,RICHLAND,320.0,5.24,53.33
US DEPT OF ENERGY HANFORD FACILITY,WA,HANFORD FACILITY,RICHLAND,358400.0,5.52,59733.33
CROP PRODUCTION SERVICES WALLA WALLA,WA,3083 E ISAACS AVE,WALLA WALLA,4.0,4.64,0.67
SCHWERIN CONCAVES WALLA WALLA,WA,1106 SAPPOLIL RD,WALLA WALLA,10.0,4.88,1.67
SAFETY KLEEN SYSTEMS INC LYNNWOOD 709201,WA,6303 212TH ST SW STE C,LYNNWOOD,3.0,3.45,
COLVILLE INDIAN POWER AND VENEER (CIPV),WA,1100 8TH AVE E,OMAK,386.0,4.74,64.33
BURLINGTON ENVIRONMENTAL INC,WA,2001 W GARFIELD ST E SIDE OF B,SEATTLE,216.0,3.5,36.0
CAMERON YAKIMA INC,WA,1414 S 1ST ST,YAKIMA,2.0,5.28,0.33
TOXGON CORP SEATTLE,WA,631 S 96TH ST,SEATTLE,2.0,3.41,
WA UW TACOMA BR CAMP,WA,1930 C ST,TACOMA,9.0,3.33,
CLEAN CARE CORP,WA,1510 TAYLOR WY,TACOMA,4.0,3.23,
US ARMY HQ I CORPS & FORT LEWIS,WA,BLDG 2012 LIGGETT AVE,JOINT BASE LEWIS-MCCHORD,86178.0,3.28,
ABERDEEN LF,WA,,ABERDEEN,,2.94,
ASOTIN COUNTY LF,WA,,CLARKSTON,,4.84,
